baby_id,source,type,ts,cry_intensity,cry_duration_sec,cry_pattern,cry_pitch_hint,feed_amount_ml,feed_method,feed_notes,diaper_wet,diaper_dirty,diaper_notes,sleep_state,sleep_notes,note_text
baby_demo_1,agent,cry,2026-01-16T08:20:00Z,0.41,370,continuous,high,,,,,,,,,
baby_demo_1,agent,cry,2026-01-16T08:33:00Z,0.44,111,continuous,high,,,,,,,,,
baby_demo_1,manual,cry,2026-01-16T08:42:00Z,0.08,105,intermittent,high,,,,,,,,,
baby_demo_1,device,feed,2026-01-16T08:45:00Z,,,,,47,bottle,,,,,,,
baby_demo_1,manual,diaper,2026-01-16T08:53:00Z,,,,,,,,true,false,small stool,,,
baby_demo_1,manual,sleep,2026-01-16T09:05:00Z,,,,,,,,,,,asleep,swaddled,
baby_demo_1,manual,sleep,2026-01-16T09:12:00Z,,,,,,,,,,,asleep,,
baby_demo_1,manual,sleep,2026-01-16T09:28:00Z,,,,,,,,,,,woke_up,,
baby_demo_1,manual,sleep,2026-01-16T09:48:00Z,,,,,,,,,,,asleep,,
baby_demo_1,manual,feed,2026-01-16T10:14:00Z,,,,,113,bottle,,,,,,,
baby_demo_1,manual,sleep,2026-01-16T10:22:00Z,,,,,,,,,,,nap_end,,
baby_demo_1,device,sleep,2026-01-16T10:45:00Z,,,,,,,,,,,asleep,,
baby_demo_1,device,cry,2026-01-16T11:11:00Z,0.14,287,continuous,high,,,,,,,,,
baby_demo_1,device,sleep,2026-01-16T11:22:00Z,,,,,,,,,,,woke_up,,
baby_demo_1,device,sleep,2026-01-16T11:31:00Z,,,,,,,,,,,asleep,in crib,
baby_demo_1,manual,diaper,2026-01-16T12:16:00Z,,,,,,,,true,true,rash check,,,
baby_demo_1,manual,feed,2026-01-16T12:22:00Z,,,,,83,bottle,small spit-up,,,,,,
baby_demo_1,manual,feed,2026-01-16T12:36:00Z,,,,,65,unknown,seemed hungry,,,,,,
baby_demo_1,device,sleep,2026-01-16T12:44:00Z,,,,,,,,,,,nap_end,,
baby_demo_1,device,sleep,2026-01-16T13:02:00Z,,,,,,,,,,,asleep,,
baby_demo_1,manual,feed,2026-01-16T13:29:00Z,,,,,98,bottle,,,,,,,
baby_demo_1,manual,diaper,2026-01-16T13:42:00Z,,,,,,,,true,true,small stool,,,
baby_demo_1,manual,sleep,2026-01-16T13:55:00Z,,,,,,,,,,,asleep,contact nap,
